YEAR,Row,Ran,LOT No.,TRT,Block,Bines/ plot,SWC on Aug 17th,SWC on July 27th,SWC on Aug 11th,End of Year SWC,T. Harvest Fresh Weight (kg/plot),T. Yield Dry Hops (kg/ha),T. Yield Fresh Hops (kg/ha),% Dry Matter,% Total Oil,% Alpha Acids,% Beta Acids,% CoHumulone,% CoLupulone,% ?-Pinene,% Myrcene,% ?-Pinene,% Limonene,% Linalool,% Geraniol,% Citral,% Ocimene,% Farnesene,% Caryophyllene,% Humulene,% Caryophyllene oxide
2022,1,5,111,T1,1,16,0.462,,,0.473,29.5,1897.66,8104.4,22,1.10,5.73,7.14,29.14,43.7,0.08,48.9,0.79,0.09,0.33,0.09,0.07,0.24,6.91,8.76,22.09,0.12
2022,1,7,211,T1,2,15,0.37,,,0.351,33.1,2250.22,9093.41,23,1.50,5.75,7.38,29.57,44.31,0.08,53.77,0.78,0.07,0.38,0.11,0.06,0.31,6.29,8.16,19.45,0.12
2022,1,11,311,T1,3,15,0.435,,,0.445,28.6,1944.3,7857.14,23,1.50,4.86,6.84,29.63,43.42,0.08,52.5,0.77,0.06,0.38,0.09,0.08,0.22,6.51,8.45,21.61,0.11
2022,6,19,411,T1,4,14,0.451,,,0.436,32.4,2084.21,8901.1,22,1.50,5.66,7.27,29.33,43.74,0.09,56.11,0.84,0.1,0.37,0.09,0.02,0.28,6.3,7.46,17.76,0.08
2022,6,13,511,T1,5,15,0.441,,,0.431,26.3,1922.51,7225.27,25,1.10,4.62,7.19,29.65,43.39,0.07,51.98,0.77,0.08,0.37,0.08,0.07,0.29,6.45,8.62,21.37,0.09
2022,6,11,611,T1,6,16,0.316,,,0.282,26.3,1845.61,7225.27,24,1.40,6.02,7.61,29.9,44.55,0.09,57.7,0.86,0.09,0.35,0.1,0.06,0.31,5.87,7.4,17.98,0.07
2022,1,4,113,T2,1,16,0.373,,,0.225,29.5,1983.92,8104.4,23,1.20,5.22,7.17,29.5,43.65,0.09,54.17,0.83,0.08,0.3,0.1,0.06,0.31,6.29,8.09,20.1,0.05
2022,1,6,213,T2,2,14,0.415,,,0.317,34,2187.13,9340.66,22,1.00,6.58,7.64,29.64,44.63,0.09,58.4,0.87,0.1,0.4,0.08,0.04,0.34,5.74,7.25,21.44,0.1
2022,1,10,313,T2,3,16,0.445,,,0.308,27.7,1862.87,7609.89,23,0.90,5.61,7.65,29.06,42.88,0.07,48.6,0.71,0.08,0.21,0.07,0.1,0.16,6.7,9.33,23.93,0.08
2022,6,18,413,T2,4,16,0.475,,,0.391,30.2,2030.99,8296.7,23,0.85,5.92,7.31,29.56,43.91,0.1,62.4,0.9,0.09,0.3,0.08,0.09,0.31,5.45,6.54,19.39,0.06
2022,6,15,513,T2,5,16,0.463,,,0.367,22.7,1659.36,6236.26,24,0.80,4.72,7.07,29.19,42.72,0.07,41.19,0.71,0.08,0.24,0.07,0.18,0.24,7.72,10.67,22.05,0.08
